Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
285.10	31.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.10	31.533	0.36781	2.7188	284.26	292.83	1.2186	1.6859	4.4096	459.86	0.12942	48.542	0.081183	0.0018044	liquid
285.10	31.533	0.065880	15.179	497.06	544.93	2.1029	1.7600	4.1540	222.57	1.7184	10.379	0.028877	undefined	vapor
285.19	31.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.19	31.600	0.36752	2.7209	284.61	293.21	1.2199	1.6866	4.4192	458.86	0.13017	48.465	0.081109	0.0017939	liquid
285.19	31.600	0.066074	15.135	497.02	544.84	2.1022	1.7613	4.1686	222.46	1.7173	10.390	0.028933	undefined	vapor
285.29	31.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.29	31.667	0.36723	2.7231	284.96	293.59	1.2212	1.6873	4.4289	457.86	0.13093	48.388	0.081036	0.0017834	liquid
285.29	31.667	0.066269	15.090	496.97	544.76	2.1016	1.7626	4.1834	222.35	1.7163	10.401	0.028990	undefined	vapor
285.38	31.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.38	31.733	0.36693	2.7253	285.31	293.96	1.2224	1.6879	4.4387	456.86	0.13169	48.310	0.080962	0.0017729	liquid
285.38	31.733	0.066464	15.046	496.92	544.67	2.1009	1.7639	4.1983	222.24	1.7152	10.412	0.029047	undefined	vapor
285.47	31.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.47	31.800	0.36664	2.7275	285.66	294.34	1.2237	1.6886	4.4485	455.86	0.13246	48.233	0.080888	0.0017624	liquid
285.47	31.800	0.066659	15.002	496.88	544.58	2.1002	1.7652	4.2133	222.13	1.7141	10.423	0.029104	undefined	vapor
285.57	31.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.57	31.867	0.36635	2.7297	286.02	294.71	1.2249	1.6893	4.4584	454.87	0.13323	48.156	0.080815	0.0017520	liquid
285.57	31.867	0.066855	14.958	496.83	544.49	2.0996	1.7666	4.2284	222.02	1.7131	10.434	0.029161	undefined	vapor
285.66	31.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.66	31.933	0.36605	2.7319	286.37	295.09	1.2262	1.6899	4.4684	453.87	0.13400	48.079	0.080742	0.0017416	liquid
285.66	31.933	0.067052	14.914	496.78	544.40	2.0989	1.7679	4.2436	221.91	1.7120	10.445	0.029219	undefined	vapor
285.75	32.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.75	32.000	0.36576	2.7341	286.72	295.47	1.2274	1.6906	4.4785	452.87	0.13478	48.002	0.080668	0.0017312	liquid
285.75	32.000	0.067249	14.870	496.73	544.31	2.0983	1.7692	4.2590	221.80	1.7110	10.456	0.029277	undefined	vapor
285.85	32.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.85	32.067	0.36546	2.7363	287.07	295.84	1.2287	1.6913	4.4886	451.87	0.13556	47.925	0.080595	0.0017209	liquid
285.85	32.067	0.067446	14.827	496.68	544.22	2.0976	1.7705	4.2745	221.69	1.7099	10.467	0.029335	undefined	vapor
285.94	32.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
285.94	32.133	0.36516	2.7385	287.42	296.22	1.2299	1.6920	4.4989	450.88	0.13635	47.848	0.080522	0.0017106	liquid
285.94	32.133	0.067644	14.783	496.63	544.13	2.0969	1.7718	4.2901	221.58	1.7088	10.478	0.029393	undefined	vapor
286.03	32.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.03	32.200	0.36487	2.7407	287.77	296.59	1.2312	1.6927	4.5091	449.88	0.13714	47.771	0.080450	0.0017003	liquid
286.03	32.200	0.067842	14.740	496.58	544.04	2.0963	1.7731	4.3058	221.47	1.7078	10.490	0.029452	undefined	vapor
286.12	32.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.12	32.267	0.36457	2.7429	288.12	296.97	1.2324	1.6934	4.5195	448.88	0.13794	47.694	0.080377	0.0016900	liquid
286.12	32.267	0.068041	14.697	496.53	543.95	2.0956	1.7745	4.3217	221.36	1.7067	10.501	0.029510	undefined	vapor
286.22	32.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.22	32.333	0.36427	2.7452	288.47	297.34	1.2337	1.6941	4.5300	447.89	0.13873	47.618	0.080304	0.0016798	liquid
286.22	32.333	0.068241	14.654	496.47	543.85	2.0949	1.7758	4.3377	221.25	1.7056	10.512	0.029569	undefined	vapor
286.31	32.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.31	32.400	0.36398	2.7474	288.82	297.72	1.2349	1.6948	4.5405	446.89	0.13954	47.541	0.080232	0.0016696	liquid
286.31	32.400	0.068441	14.611	496.42	543.76	2.0943	1.7771	4.3538	221.14	1.7046	10.524	0.029629	undefined	vapor
286.40	32.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.40	32.467	0.36368	2.7497	289.17	298.10	1.2362	1.6955	4.5511	445.90	0.14035	47.465	0.080159	0.0016594	liquid
286.40	32.467	0.068641	14.568	496.37	543.67	2.0936	1.7785	4.3701	221.03	1.7035	10.535	0.029688	undefined	vapor
286.49	32.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.49	32.533	0.36338	2.7519	289.52	298.47	1.2374	1.6962	4.5618	444.90	0.14116	47.388	0.080087	0.0016493	liquid
286.49	32.533	0.068842	14.526	496.31	543.57	2.0929	1.7798	4.3865	220.92	1.7024	10.546	0.029748	undefined	vapor
286.58	32.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.58	32.600	0.36308	2.7542	289.87	298.85	1.2387	1.6969	4.5726	443.90	0.14197	47.312	0.080015	0.0016391	liquid
286.58	32.600	0.069044	14.484	496.26	543.48	2.0923	1.7811	4.4030	220.81	1.7013	10.558	0.029808	undefined	vapor
286.68	32.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.68	32.667	0.36278	2.7565	290.22	299.22	1.2399	1.6976	4.5834	442.91	0.14280	47.235	0.079943	0.0016290	liquid
286.68	32.667	0.069246	14.441	496.20	543.38	2.0916	1.7825	4.4197	220.70	1.7003	10.569	0.029869	undefined	vapor
286.77	32.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.77	32.733	0.36249	2.7587	290.57	299.60	1.2412	1.6983	4.5944	441.91	0.14362	47.159	0.079871	0.0016190	liquid
286.77	32.733	0.069448	14.399	496.15	543.28	2.0909	1.7838	4.4365	220.59	1.6992	10.581	0.029930	undefined	vapor
286.86	32.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.86	32.800	0.36219	2.7610	290.92	299.97	1.2424	1.6990	4.6054	440.92	0.14445	47.083	0.079800	0.0016089	liquid
286.86	32.800	0.069652	14.357	496.09	543.18	2.0902	1.7852	4.4535	220.48	1.6981	10.593	0.029990	undefined	vapor
286.95	32.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
286.95	32.867	0.36189	2.7633	291.27	300.35	1.2436	1.6997	4.6165	439.92	0.14529	47.007	0.079728	0.0015989	liquid
286.95	32.867	0.069855	14.315	496.04	543.09	2.0896	1.7865	4.4706	220.37	1.6970	10.604	0.030052	undefined	vapor
287.04	32.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.04	32.933	0.36159	2.7656	291.62	300.72	1.2449	1.7005	4.6277	438.93	0.14613	46.931	0.079657	0.0015889	liquid
287.04	32.933	0.070059	14.274	495.98	542.99	2.0889	1.7879	4.4878	220.26	1.6959	10.616	0.030113	undefined	vapor
287.13	33.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.13	33.000	0.36129	2.7679	291.97	301.10	1.2461	1.7012	4.6390	437.93	0.14697	46.855	0.079585	0.0015790	liquid
287.13	33.000	0.070264	14.232	495.92	542.89	2.0882	1.7893	4.5052	220.15	1.6948	10.628	0.030175	undefined	vapor
287.22	33.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.22	33.067	0.36098	2.7702	292.32	301.48	1.2474	1.7019	4.6504	436.94	0.14782	46.779	0.079514	0.0015691	liquid
287.22	33.067	0.070469	14.191	495.86	542.79	2.0875	1.7906	4.5228	220.04	1.6938	10.639	0.030237	undefined	vapor
287.31	33.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.31	33.133	0.36068	2.7725	292.67	301.85	1.2486	1.7026	4.6619	435.94	0.14867	46.703	0.079443	0.0015592	liquid
287.31	33.133	0.070675	14.149	495.80	542.69	2.0868	1.7920	4.5404	219.93	1.6927	10.651	0.030299	undefined	vapor
287.40	33.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.40	33.200	0.36038	2.7748	293.01	302.23	1.2499	1.7034	4.6734	434.95	0.14953	46.627	0.079372	0.0015493	liquid
287.40	33.200	0.070881	14.108	495.74	542.58	2.0862	1.7934	4.5583	219.82	1.6916	10.663	0.030362	undefined	vapor
287.49	33.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.49	33.267	0.36008	2.7772	293.36	302.60	1.2511	1.7041	4.6851	433.95	0.15040	46.552	0.079301	0.0015394	liquid
287.49	33.267	0.071088	14.067	495.68	542.48	2.0855	1.7947	4.5763	219.70	1.6905	10.675	0.030425	undefined	vapor
287.58	33.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.58	33.333	0.35978	2.7795	293.71	302.98	1.2523	1.7049	4.6968	432.96	0.15126	46.476	0.079230	0.0015296	liquid
287.58	33.333	0.071296	14.026	495.62	542.38	2.0848	1.7961	4.5945	219.59	1.6894	10.687	0.030488	undefined	vapor
287.67	33.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.67	33.400	0.35947	2.7818	294.06	303.35	1.2536	1.7056	4.7087	431.96	0.15214	46.400	0.079160	0.0015198	liquid
287.67	33.400	0.071504	13.985	495.56	542.27	2.0841	1.7975	4.6128	219.48	1.6883	10.698	0.030552	undefined	vapor
287.76	33.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.76	33.467	0.35917	2.7842	294.41	303.73	1.2548	1.7064	4.7206	430.97	0.15302	46.325	0.079089	0.0015101	liquid
287.76	33.467	0.071713	13.945	495.50	542.17	2.0834	1.7989	4.6313	219.37	1.6872	10.710	0.030616	undefined	vapor
287.85	33.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.85	33.533	0.35887	2.7865	294.76	304.11	1.2561	1.7071	4.7327	429.97	0.15390	46.249	0.079019	0.0015003	liquid
287.85	33.533	0.071922	13.904	495.44	542.06	2.0827	1.8002	4.6499	219.26	1.6861	10.722	0.030680	undefined	vapor
287.94	33.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
287.94	33.600	0.35856	2.7889	295.11	304.48	1.2573	1.7079	4.7448	428.98	0.15479	46.174	0.078949	0.0014906	liquid
287.94	33.600	0.072131	13.864	495.38	541.96	2.0820	1.8016	4.6687	219.15	1.6850	10.735	0.030744	undefined	vapor
288.03	33.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.03	33.667	0.35826	2.7913	295.46	304.86	1.2586	1.7087	4.7571	427.98	0.15568	46.098	0.078879	0.0014809	liquid
288.03	33.667	0.072342	13.823	495.31	541.85	2.0814	1.8030	4.6877	219.04	1.6838	10.747	0.030809	undefined	vapor
288.12	33.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.12	33.733	0.35795	2.7937	295.81	305.23	1.2598	1.7094	4.7694	426.99	0.15658	46.023	0.078809	0.0014713	liquid
288.12	33.733	0.072553	13.783	495.25	541.74	2.0807	1.8044	4.7068	218.92	1.6827	10.759	0.030874	undefined	vapor
288.21	33.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.21	33.800	0.35765	2.7960	296.16	305.61	1.2610	1.7102	4.7819	426.00	0.15748	45.948	0.078739	0.0014617	liquid
288.21	33.800	0.072764	13.743	495.18	541.63	2.0800	1.8058	4.7262	218.81	1.6816	10.771	0.030940	undefined	vapor
288.30	33.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.30	33.867	0.35734	2.7984	296.51	305.99	1.2623	1.7110	4.7945	425.00	0.15839	45.872	0.078669	0.0014520	liquid
288.30	33.867	0.072976	13.703	495.12	541.53	2.0793	1.8072	4.7457	218.70	1.6805	10.783	0.031005	undefined	vapor
288.39	33.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.39	33.933	0.35704	2.8008	296.86	306.36	1.2635	1.7118	4.8071	424.01	0.15931	45.797	0.078600	0.0014425	liquid
288.39	33.933	0.073189	13.663	495.05	541.42	2.0786	1.8086	4.7653	218.59	1.6794	10.795	0.031071	undefined	vapor
288.48	34.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.48	34.000	0.35673	2.8033	297.21	306.74	1.2647	1.7125	4.8199	423.01	0.16022	45.722	0.078530	0.0014329	liquid
288.48	34.000	0.073402	13.624	494.99	541.31	2.0779	1.8100	4.7852	218.47	1.6782	10.808	0.031138	undefined	vapor
288.57	34.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.57	34.067	0.35642	2.8057	297.56	307.11	1.2660	1.7133	4.8328	422.02	0.16115	45.647	0.078461	0.0014234	liquid
288.57	34.067	0.073616	13.584	494.92	541.19	2.0772	1.8114	4.8052	218.36	1.6771	10.820	0.031204	undefined	vapor
288.65	34.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.65	34.133	0.35611	2.8081	297.90	307.49	1.2672	1.7141	4.8458	421.02	0.16208	45.572	0.078392	0.0014139	liquid
288.65	34.133	0.073831	13.544	494.85	541.08	2.0765	1.8129	4.8255	218.25	1.6760	10.833	0.031271	undefined	vapor
288.74	34.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.74	34.200	0.35581	2.8105	298.25	307.87	1.2685	1.7149	4.8589	420.03	0.16302	45.497	0.078323	0.0014044	liquid
288.74	34.200	0.074046	13.505	494.78	540.97	2.0758	1.8143	4.8459	218.14	1.6749	10.845	0.031339	undefined	vapor
288.83	34.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.83	34.267	0.35550	2.8130	298.60	308.24	1.2697	1.7157	4.8722	419.03	0.16396	45.422	0.078254	0.0013950	liquid
288.83	34.267	0.074262	13.466	494.71	540.86	2.0751	1.8157	4.8665	218.02	1.6737	10.857	0.031407	undefined	vapor
288.92	34.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
288.92	34.333	0.35519	2.8154	298.95	308.62	1.2709	1.7165	4.8855	418.04	0.16490	45.347	0.078185	0.0013856	liquid
288.92	34.333	0.074478	13.427	494.64	540.74	2.0744	1.8171	4.8873	217.91	1.6726	10.870	0.031475	undefined	vapor
289.01	34.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.01	34.400	0.35488	2.8179	299.30	309.00	1.2722	1.7173	4.8990	417.04	0.16586	45.272	0.078116	0.0013762	liquid
289.01	34.400	0.074695	13.388	494.57	540.63	2.0737	1.8186	4.9083	217.80	1.6714	10.883	0.031543	undefined	vapor
289.09	34.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.09	34.467	0.35457	2.8203	299.65	309.37	1.2734	1.7182	4.9126	416.05	0.16682	45.197	0.078048	0.0013668	liquid
289.09	34.467	0.074913	13.349	494.50	540.51	2.0729	1.8200	4.9295	217.68	1.6703	10.895	0.031612	undefined	vapor
289.18	34.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.18	34.533	0.35426	2.8228	300.00	309.75	1.2747	1.7190	4.9263	415.05	0.16778	45.122	0.077980	0.0013575	liquid
289.18	34.533	0.075131	13.310	494.43	540.39	2.0722	1.8214	4.9509	217.57	1.6691	10.908	0.031681	undefined	vapor
289.27	34.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.27	34.600	0.35395	2.8253	300.35	310.13	1.2759	1.7198	4.9401	414.06	0.16875	45.047	0.077911	0.0013482	liquid
289.27	34.600	0.075350	13.271	494.36	540.28	2.0715	1.8229	4.9725	217.46	1.6680	10.921	0.031751	undefined	vapor
289.36	34.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.36	34.667	0.35363	2.8278	300.70	310.50	1.2771	1.7206	4.9541	413.06	0.16973	44.973	0.077843	0.0013389	liquid
289.36	34.667	0.075570	13.233	494.29	540.16	2.0708	1.8243	4.9943	217.35	1.6668	10.933	0.031820	undefined	vapor
289.44	34.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.44	34.733	0.35332	2.8303	301.05	310.88	1.2784	1.7215	4.9682	412.07	0.17071	44.898	0.077775	0.0013296	liquid
289.44	34.733	0.075790	13.194	494.21	540.04	2.0701	1.8258	5.0163	217.23	1.6657	10.946	0.031891	undefined	vapor
289.53	34.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.53	34.800	0.35301	2.8328	301.40	311.26	1.2796	1.7223	4.9824	411.07	0.17170	44.823	0.077707	0.0013204	liquid
289.53	34.800	0.076011	13.156	494.14	539.92	2.0694	1.8272	5.0386	217.12	1.6645	10.959	0.031961	undefined	vapor
289.62	34.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.62	34.867	0.35270	2.8353	301.75	311.63	1.2808	1.7232	4.9967	410.07	0.17269	44.748	0.077640	0.0013112	liquid
289.62	34.867	0.076232	13.118	494.06	539.80	2.0687	1.8287	5.0610	217.00	1.6633	10.972	0.032032	undefined	vapor
289.71	34.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.71	34.933	0.35238	2.8378	302.10	312.01	1.2821	1.7240	5.0112	409.08	0.17369	44.674	0.077572	0.0013020	liquid
289.71	34.933	0.076455	13.080	493.99	539.68	2.0679	1.8302	5.0837	216.89	1.6622	10.985	0.032104	undefined	vapor
289.79	35.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.79	35.000	0.35207	2.8404	302.45	312.39	1.2833	1.7249	5.0258	408.08	0.17470	44.599	0.077505	0.0012929	liquid
289.79	35.000	0.076678	13.042	493.91	539.56	2.0672	1.8316	5.1066	216.78	1.6610	10.998	0.032176	undefined	vapor
289.88	35.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.88	35.067	0.35175	2.8429	302.80	312.77	1.2846	1.7257	5.0406	407.09	0.17571	44.525	0.077438	0.0012837	liquid
289.88	35.067	0.076901	13.004	493.83	539.43	2.0665	1.8331	5.1297	216.66	1.6598	11.011	0.032248	undefined	vapor
289.97	35.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
289.97	35.133	0.35144	2.8455	303.15	313.14	1.2858	1.7266	5.0555	406.09	0.17673	44.450	0.077370	0.0012746	liquid
289.97	35.133	0.077126	12.966	493.76	539.31	2.0658	1.8346	5.1531	216.55	1.6586	11.024	0.032320	undefined	vapor
290.05	35.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.05	35.200	0.35112	2.8480	303.50	313.52	1.2870	1.7275	5.0705	405.09	0.17775	44.376	0.077303	0.0012655	liquid
290.05	35.200	0.077351	12.928	493.68	539.19	2.0650	1.8361	5.1767	216.43	1.6575	11.037	0.032393	undefined	vapor
290.14	35.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.14	35.267	0.35081	2.8506	303.85	313.90	1.2883	1.7283	5.0857	404.10	0.17878	44.301	0.077237	0.0012565	liquid
290.14	35.267	0.077576	12.891	493.60	539.06	2.0643	1.8375	5.2005	216.32	1.6563	11.051	0.032467	undefined	vapor
290.23	35.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.23	35.333	0.35049	2.8532	304.20	314.28	1.2895	1.7292	5.1010	403.10	0.17982	44.227	0.077170	0.0012475	liquid
290.23	35.333	0.077803	12.853	493.52	538.93	2.0636	1.8390	5.2246	216.20	1.6551	11.064	0.032540	undefined	vapor
290.31	35.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.31	35.400	0.35017	2.8557	304.55	314.66	1.2907	1.7301	5.1165	402.10	0.18087	44.152	0.077103	0.0012385	liquid
290.31	35.400	0.078030	12.816	493.44	538.81	2.0629	1.8405	5.2489	216.09	1.6539	11.077	0.032615	undefined	vapor
290.40	35.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.40	35.467	0.34985	2.8583	304.90	315.03	1.2920	1.7310	5.1321	401.10	0.18192	44.078	0.077037	0.0012295	liquid
290.40	35.467	0.078258	12.778	493.36	538.68	2.0621	1.8420	5.2735	215.98	1.6527	11.091	0.032689	undefined	vapor
290.48	35.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.48	35.533	0.34953	2.8610	305.25	315.41	1.2932	1.7319	5.1479	400.11	0.18297	44.004	0.076971	0.0012206	liquid
290.48	35.533	0.078486	12.741	493.28	538.55	2.0614	1.8435	5.2983	215.86	1.6515	11.104	0.032764	undefined	vapor
290.57	35.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.57	35.600	0.34921	2.8636	305.60	315.79	1.2945	1.7328	5.1638	399.11	0.18404	43.929	0.076905	0.0012116	liquid
290.57	35.600	0.078716	12.704	493.20	538.42	2.0606	1.8450	5.3234	215.75	1.6503	11.118	0.032840	undefined	vapor
290.65	35.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.65	35.667	0.34889	2.8662	305.95	316.17	1.2957	1.7337	5.1799	398.11	0.18511	43.855	0.076839	0.0012027	liquid
290.65	35.667	0.078946	12.667	493.11	538.29	2.0599	1.8465	5.3487	215.63	1.6491	11.131	0.032915	undefined	vapor
290.74	35.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.74	35.733	0.34857	2.8688	306.30	316.55	1.2969	1.7346	5.1961	397.11	0.18619	43.781	0.076773	0.0011939	liquid
290.74	35.733	0.079176	12.630	493.03	538.16	2.0592	1.8481	5.3744	215.52	1.6479	11.145	0.032992	undefined	vapor
290.82	35.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.82	35.800	0.34825	2.8715	306.65	316.93	1.2982	1.7355	5.2125	396.11	0.18727	43.706	0.076707	0.0011850	liquid
290.82	35.800	0.079408	12.593	492.94	538.03	2.0584	1.8496	5.4002	215.40	1.6466	11.158	0.033069	undefined	vapor
290.91	35.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
290.91	35.867	0.34793	2.8741	307.00	317.31	1.2994	1.7365	5.2291	395.12	0.18836	43.632	0.076642	0.0011762	liquid
290.91	35.867	0.079640	12.556	492.86	537.90	2.0577	1.8511	5.4264	215.28	1.6454	11.172	0.033146	undefined	vapor
291.00	35.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
291.00	35.933	0.34761	2.8768	307.35	317.69	1.3006	1.7374	5.2458	394.12	0.18946	43.558	0.076576	0.0011674	liquid
291.00	35.933	0.079873	12.520	492.77	537.76	2.0569	1.8526	5.4528	215.17	1.6442	11.186	0.033223	undefined	vapor
291.08	36.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
291.08	36.000	0.34729	2.8795	307.70	318.07	1.3019	1.7383	5.2627	393.12	0.19057	43.483	0.076511	0.0011587	liquid
291.08	36.000	0.080107	12.483	492.69	537.63	2.0562	1.8542	5.4795	215.05	1.6429	11.200	0.033302	undefined	vapor
291.16	36.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
291.16	36.067	0.34696	2.8822	308.05	318.45	1.3031	1.7393	5.2798	392.12	0.19168	43.409	0.076446	0.0011499	liquid
291.16	36.067	0.080341	12.447	492.60	537.49	2.0554	1.8557	5.5065	214.94	1.6417	11.214	0.033380	undefined	vapor
291.25	36.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
