Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
207.42	3.0000	0.51400	1.9455	56.576	57.160	0.28993	1.4509	2.5557	1137.7	-0.033616	127.40	0.14564	0.012612	liquid
207.42	3.0000	0.0056425	177.23	460.54	513.70	2.4910	1.2154	1.5988	253.67	3.0488	6.4906	0.011664	undefined	vapor
207.94	3.0667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
207.94	3.0667	0.51328	1.9482	57.914	58.512	0.29637	1.4515	2.5590	1133.6	-0.033337	126.64	0.14517	0.012530	liquid
207.94	3.0667	0.0057603	173.60	460.99	514.22	2.4879	1.2180	1.6035	253.75	3.0323	6.5073	0.011723	undefined	vapor
208.46	3.1333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
208.46	3.1333	0.51257	1.9509	59.232	59.844	0.30271	1.4521	2.5623	1129.5	-0.033061	125.89	0.14470	0.012451	liquid
208.46	3.1333	0.0058781	170.12	461.43	514.73	2.4848	1.2206	1.6081	253.82	3.0161	6.5237	0.011781	undefined	vapor
208.97	3.2000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
208.97	3.2000	0.51187	1.9536	60.531	61.156	0.30894	1.4527	2.5656	1125.4	-0.032785	125.16	0.14424	0.012372	liquid
208.97	3.2000	0.0059957	166.78	461.86	515.23	2.4818	1.2232	1.6126	253.89	3.0003	6.5399	0.011838	undefined	vapor
209.47	3.2667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
209.47	3.2667	0.51118	1.9563	61.811	62.450	0.31506	1.4532	2.5688	1121.5	-0.032511	124.45	0.14379	0.012295	liquid
209.47	3.2667	0.0061133	163.58	462.28	515.72	2.4789	1.2257	1.6172	253.96	2.9848	6.5559	0.011895	undefined	vapor
209.97	3.3333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
209.97	3.3333	0.51050	1.9589	63.073	63.726	0.32108	1.4538	2.5720	1117.5	-0.032239	123.75	0.14334	0.012219	liquid
209.97	3.3333	0.0062309	160.49	462.70	516.20	2.4760	1.2282	1.6217	254.02	2.9697	6.5717	0.011951	undefined	vapor
210.45	3.4000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
210.45	3.4000	0.50982	1.9615	64.317	64.984	0.32700	1.4544	2.5752	1113.7	-0.031967	123.06	0.14290	0.012144	liquid
210.45	3.4000	0.0063483	157.52	463.11	516.67	2.4732	1.2307	1.6261	254.08	2.9549	6.5872	0.012006	undefined	vapor
210.93	3.4667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
210.93	3.4667	0.50916	1.9640	65.545	66.226	0.33283	1.4550	2.5784	1109.9	-0.031697	122.39	0.14247	0.012071	liquid
210.93	3.4667	0.0064657	154.66	463.51	517.13	2.4705	1.2332	1.6305	254.13	2.9404	6.6025	0.012061	undefined	vapor
211.41	3.5333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
211.41	3.5333	0.50850	1.9666	66.756	67.451	0.33857	1.4556	2.5816	1106.1	-0.031428	121.73	0.14205	0.011998	liquid
211.41	3.5333	0.0065831	151.91	463.91	517.58	2.4678	1.2356	1.6349	254.18	2.9262	6.6177	0.012116	undefined	vapor
211.87	3.6000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
211.87	3.6000	0.50785	1.9691	67.952	68.661	0.34423	1.4562	2.5848	1102.4	-0.031160	121.09	0.14163	0.011927	liquid
211.87	3.6000	0.0067003	149.25	464.30	518.02	2.4652	1.2379	1.6393	254.23	2.9123	6.6326	0.012170	undefined	vapor
212.33	3.6667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
212.33	3.6667	0.50721	1.9716	69.132	69.855	0.34980	1.4568	2.5879	1098.7	-0.030892	120.46	0.14122	0.011856	liquid
212.33	3.6667	0.0068176	146.68	464.68	518.46	2.4626	1.2403	1.6436	254.27	2.8987	6.6474	0.012223	undefined	vapor
212.78	3.7333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
212.78	3.7333	0.50657	1.9740	70.298	71.035	0.35529	1.4573	2.5910	1095.1	-0.030626	119.84	0.14082	0.011787	liquid
212.78	3.7333	0.0069348	144.20	465.06	518.89	2.4600	1.2426	1.6479	254.31	2.8853	6.6620	0.012276	undefined	vapor
