Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	3.2667	0.0040654	245.98	582.78	663.13	3.0640	1.4788	1.7855	307.52	1.1074	9.2584	0.020935	vapor
298.00	3.3333	0.0041505	240.93	582.69	663.00	3.0581	1.4790	1.7864	307.41	1.1079	9.2594	0.020942	vapor
298.00	3.4000	0.0042358	236.08	582.60	662.87	3.0523	1.4792	1.7873	307.30	1.1084	9.2603	0.020948	vapor
298.00	3.4667	0.0043212	231.42	582.51	662.74	3.0467	1.4795	1.7883	307.18	1.1089	9.2612	0.020955	vapor
298.00	3.5333	0.0044066	226.93	582.42	662.60	3.0411	1.4797	1.7892	307.07	1.1094	9.2622	0.020962	vapor
298.00	3.6000	0.0044921	222.61	582.33	662.47	3.0356	1.4799	1.7901	306.96	1.1099	9.2631	0.020969	vapor
298.00	3.6667	0.0045778	218.45	582.24	662.34	3.0302	1.4802	1.7910	306.85	1.1104	9.2641	0.020975	vapor
298.00	3.7333	0.0046635	214.43	582.15	662.21	3.0249	1.4804	1.7919	306.73	1.1109	9.2650	0.020982	vapor
298.00	3.8000	0.0047493	210.56	582.06	662.07	3.0197	1.4807	1.7929	306.62	1.1114	9.2660	0.020989	vapor
298.00	3.8667	0.0048352	206.82	581.97	661.94	3.0146	1.4809	1.7938	306.51	1.1119	9.2670	0.020996	vapor
298.00	3.9333	0.0049212	203.20	581.88	661.81	3.0096	1.4811	1.7947	306.39	1.1125	9.2679	0.021002	vapor
298.00	4.0000	0.0050073	199.71	581.79	661.68	3.0046	1.4814	1.7956	306.28	1.1130	9.2689	0.021009	vapor
298.00	4.0667	0.0050935	196.33	581.70	661.54	2.9998	1.4816	1.7966	306.17	1.1135	9.2699	0.021016	vapor
298.00	4.1333	0.0051798	193.06	581.61	661.41	2.9950	1.4819	1.7975	306.05	1.1140	9.2709	0.021023	vapor
298.00	4.2000	0.0052662	189.89	581.52	661.28	2.9902	1.4821	1.7985	305.94	1.1145	9.2719	0.021030	vapor
298.00	4.2667	0.0053526	186.82	581.43	661.14	2.9856	1.4823	1.7994	305.83	1.1150	9.2729	0.021036	vapor
298.00	4.3333	0.0054392	183.85	581.34	661.01	2.9810	1.4826	1.8004	305.71	1.1155	9.2739	0.021043	vapor
298.00	4.4000	0.0055259	180.97	581.25	660.87	2.9764	1.4828	1.8013	305.60	1.1160	9.2749	0.021050	vapor
298.00	4.4667	0.0056126	178.17	581.16	660.74	2.9720	1.4831	1.8023	305.48	1.1165	9.2759	0.021057	vapor
298.00	4.5333	0.0056995	175.45	581.07	660.61	2.9676	1.4833	1.8032	305.37	1.1170	9.2769	0.021064	vapor
298.00	4.6000	0.0057865	172.82	580.98	660.47	2.9632	1.4836	1.8042	305.26	1.1175	9.2779	0.021071	vapor
298.00	4.6667	0.0058735	170.26	580.88	660.34	2.9589	1.4838	1.8052	305.14	1.1180	9.2789	0.021078	vapor
298.00	4.7333	0.0059607	167.77	580.79	660.20	2.9547	1.4841	1.8061	305.03	1.1185	9.2799	0.021085	vapor
298.00	4.8000	0.0060479	165.35	580.70	660.07	2.9505	1.4843	1.8071	304.91	1.1190	9.2810	0.021092	vapor
298.00	4.8667	0.0061353	162.99	580.61	659.93	2.9464	1.4846	1.8081	304.80	1.1195	9.2820	0.021099	vapor
298.00	4.9333	0.0062227	160.70	580.52	659.80	2.9423	1.4848	1.8090	304.68	1.1200	9.2830	0.021106	vapor
298.00	5.0000	0.0063103	158.47	580.43	659.66	2.9383	1.4851	1.8100	304.57	1.1205	9.2841	0.021113	vapor
