Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
273.27	23.935	400.04	0.0024997	242.84	248.82	1.0681	1.6201	3.6221	578.04	0.063026	58.181	0.090507	0.0032138	46.253	0.021620	499.19	550.94	2.1737	1.6251	2.9971	234.36	1.8380	9.2961	0.023565
273.31	23.962	399.93	0.0025004	242.99	248.98	1.0687	1.6203	3.6242	577.60	0.063210	58.143	0.090470	0.0032080	46.316	0.021591	499.20	550.93	2.1735	1.6256	2.9999	234.32	1.8376	9.2996	0.023581
273.36	23.989	399.82	0.0025012	243.15	249.15	1.0693	1.6206	3.6262	577.15	0.063394	58.105	0.090433	0.0032021	46.378	0.021562	499.20	550.92	2.1732	1.6260	3.0028	234.28	1.8371	9.3030	0.023597
273.41	24.016	399.70	0.0025019	243.30	249.31	1.0698	1.6208	3.6283	576.71	0.063579	58.067	0.090397	0.0031963	46.441	0.021533	499.20	550.91	2.1730	1.6265	3.0057	234.24	1.8367	9.3064	0.023613
273.45	24.043	399.59	0.0025026	243.46	249.47	1.0704	1.6210	3.6303	576.26	0.063764	58.029	0.090360	0.0031905	46.504	0.021504	499.20	550.90	2.1727	1.6269	3.0086	234.20	1.8362	9.3098	0.023629
273.50	24.070	399.48	0.0025033	243.61	249.64	1.0710	1.6212	3.6324	575.82	0.063950	57.991	0.090323	0.0031847	46.567	0.021474	499.21	550.90	2.1725	1.6274	3.0115	234.16	1.8357	9.3133	0.023645
273.55	24.097	399.36	0.0025040	243.77	249.80	1.0716	1.6214	3.6345	575.37	0.064136	57.953	0.090286	0.0031789	46.630	0.021445	499.21	550.89	2.1722	1.6278	3.0144	234.12	1.8353	9.3167	0.023661
273.59	24.124	399.25	0.0025047	243.92	249.96	1.0721	1.6217	3.6366	574.93	0.064323	57.915	0.090250	0.0031730	46.693	0.021416	499.21	550.88	2.1720	1.6283	3.0174	234.08	1.8348	9.3202	0.023678
273.64	24.151	399.14	0.0025054	244.08	250.13	1.0727	1.6219	3.6387	574.48	0.064510	57.877	0.090213	0.0031672	46.756	0.021387	499.21	550.87	2.1717	1.6287	3.0203	234.04	1.8344	9.3236	0.023694
273.69	24.178	399.02	0.0025061	244.23	250.29	1.0733	1.6221	3.6407	574.03	0.064697	57.839	0.090176	0.0031614	46.820	0.021358	499.22	550.86	2.1715	1.6292	3.0233	234.00	1.8339	9.3271	0.023710
273.73	24.206	398.91	0.0025068	244.39	250.45	1.0739	1.6223	3.6428	573.59	0.064885	57.800	0.090139	0.0031556	46.883	0.021330	499.22	550.85	2.1713	1.6296	3.0262	233.96	1.8335	9.3305	0.023726
273.78	24.233	398.80	0.0025075	244.54	250.62	1.0744	1.6225	3.6449	573.14	0.065073	57.762	0.090102	0.0031498	46.947	0.021301	499.22	550.84	2.1710	1.6301	3.0292	233.92	1.8330	9.3340	0.023743
273.83	24.260	398.68	0.0025083	244.70	250.78	1.0750	1.6228	3.6471	572.69	0.065262	57.724	0.090066	0.0031440	47.011	0.021272	499.22	550.83	2.1708	1.6305	3.0321	233.88	1.8326	9.3375	0.023759
273.87	24.287	398.57	0.0025090	244.85	250.94	1.0756	1.6230	3.6492	572.25	0.065451	57.686	0.090029	0.0031382	47.074	0.021243	499.22	550.82	2.1705	1.6310	3.0351	233.84	1.8321	9.3409	0.023775
273.92	24.315	398.46	0.0025097	245.01	251.11	1.0761	1.6232	3.6513	571.80	0.065641	57.648	0.089992	0.0031324	47.138	0.021214	499.23	550.81	2.1703	1.6314	3.0381	233.80	1.8317	9.3444	0.023792
273.97	24.342	398.34	0.0025104	245.16	251.27	1.0767	1.6234	3.6534	571.36	0.065831	57.610	0.089955	0.0031266	47.202	0.021185	499.23	550.80	2.1700	1.6319	3.0411	233.76	1.8312	9.3479	0.023808
274.01	24.369	398.23	0.0025111	245.32	251.44	1.0773	1.6237	3.6556	570.91	0.066022	57.572	0.089919	0.0031208	47.266	0.021157	499.23	550.79	2.1698	1.6323	3.0441	233.72	1.8308	9.3514	0.023825
274.06	24.397	398.11	0.0025119	245.47	251.60	1.0779	1.6239	3.6577	570.46	0.066213	57.534	0.089882	0.0031150	47.330	0.021128	499.23	550.78	2.1695	1.6328	3.0471	233.68	1.8303	9.3549	0.023841
274.11	24.424	398.00	0.0025126	245.63	251.76	1.0784	1.6241	3.6598	570.01	0.066404	57.496	0.089845	0.0031092	47.395	0.021099	499.23	550.77	2.1693	1.6332	3.0501	233.64	1.8299	9.3584	0.023858
274.15	24.451	397.88	0.0025133	245.78	251.93	1.0790	1.6243	3.6620	569.57	0.066596	57.458	0.089808	0.0031034	47.459	0.021071	499.23	550.76	2.1690	1.6337	3.0532	233.60	1.8294	9.3619	0.023874
274.20	24.479	397.77	0.0025140	245.94	252.09	1.0796	1.6245	3.6641	569.12	0.066789	57.420	0.089772	0.0030976	47.523	0.021042	499.24	550.75	2.1688	1.6341	3.0562	233.56	1.8289	9.3654	0.023891
274.25	24.506	397.66	0.0025147	246.09	252.26	1.0802	1.6248	3.6663	568.67	0.066982	57.382	0.089735	0.0030918	47.588	0.021014	499.24	550.73	2.1685	1.6346	3.0593	233.52	1.8285	9.3689	0.023908
274.29	24.534	397.54	0.0025155	246.25	252.42	1.0807	1.6250	3.6685	568.22	0.067175	57.344	0.089698	0.0030860	47.652	0.020985	499.24	550.72	2.1683	1.6350	3.0623	233.48	1.8280	9.3725	0.023924
274.34	24.561	397.43	0.0025162	246.41	252.59	1.0813	1.6252	3.6706	567.78	0.067369	57.306	0.089661	0.0030802	47.717	0.020957	499.24	550.71	2.1680	1.6355	3.0654	233.44	1.8276	9.3760	0.023941
274.39	24.589	397.31	0.0025169	246.56	252.75	1.0819	1.6254	3.6728	567.33	0.067563	57.268	0.089624	0.0030744	47.782	0.020928	499.24	550.70	2.1678	1.6359	3.0685	233.40	1.8271	9.3795	0.023958
274.43	24.616	397.20	0.0025176	246.72	252.91	1.0825	1.6257	3.6750	566.88	0.067758	57.230	0.089588	0.0030686	47.847	0.020900	499.24	550.69	2.1675	1.6364	3.0716	233.35	1.8267	9.3831	0.023974
274.48	24.644	397.08	0.0025184	246.87	253.08	1.0830	1.6259	3.6772	566.43	0.067953	57.192	0.089551	0.0030628	47.912	0.020872	499.24	550.68	2.1673	1.6369	3.0747	233.31	1.8262	9.3866	0.023991
274.53	24.671	396.97	0.0025191	247.03	253.24	1.0836	1.6261	3.6794	565.98	0.068149	57.154	0.089514	0.0030571	47.977	0.020843	499.24	550.67	2.1670	1.6373	3.0778	233.27	1.8258	9.3902	0.024008
274.57	24.699	396.85	0.0025198	247.19	253.41	1.0842	1.6263	3.6816	565.54	0.068345	57.116	0.089477	0.0030513	48.042	0.020815	499.25	550.66	2.1668	1.6378	3.0809	233.23	1.8253	9.3937	0.024025
274.62	24.727	396.74	0.0025206	247.34	253.57	1.0848	1.6266	3.6838	565.09	0.068542	57.078	0.089441	0.0030455	48.108	0.020787	499.25	550.64	2.1665	1.6382	3.0840	233.19	1.8249	9.3973	0.024042
